quarter,personal_characteristics,position_begin,position_end,number_of_persons
2010-1,Education level: middle,TOTAL,employed,3137
2010-1,Education level: middle,TOTAL,unemployed,178
2010-1,Education level: middle,TOTAL,non labourforce,1130
2010-1,Education level: middle,employed,TOTAL,3119
2010-1,Education level: middle,employed,employed,3027
2010-1,Education level: middle,employed,unemployed,33
2010-1,Education level: middle,employed,non labourforce,58
2010-1,Education level: middle,unemployed,TOTAL,186
2010-1,Education level: middle,unemployed,employed,52
2010-1,Education level: middle,unemployed,unemployed,91
2010-1,Education level: middle,unemployed,non labourforce,44
2010-1,Education level: middle,non labourforce,TOTAL,1140
2010-1,Education level: middle,non labourforce,employed,58
2010-1,Education level: middle,non labourforce,unemployed,54
2010-1,Education level: middle,non labourforce,non labourforce,1029
2010-1,Education level: higher,TOTAL,TOTAL,3093
2010-1,Education level: higher,TOTAL,employed,2579
2010-1,Education level: higher,TOTAL,unemployed,98
2010-1,Education level: higher,TOTAL,non labourforce,416
2010-1,Education level: higher,employed,TOTAL,2574
2010-1,Education level: higher,employed,employed,2527
2010-1,Education level: higher,employed,unemployed,20
2010-1,Education level: higher,employed,non labourforce,28
2010-1,Education level: higher,unemployed,TOTAL,105
2010-1,Education level: higher,unemployed,employed,32
2010-1,Education level: higher,unemployed,unemployed,54
2010-1,Education level: higher,unemployed,non labourforce,20
2010-1,Education level: higher,non labourforce,TOTAL,414
2010-1,Education level: higher,non labourforce,employed,20
2010-1,Education level: higher,non labourforce,unemployed,24
2010-1,Education level: higher,non labourforce,non labourforce,369
2010-1,Education level: unknown,TOTAL,TOTAL,73
2010-1,Education level: unknown,TOTAL,employed,55
2010-1,Education level: unknown,TOTAL,unemployed,3
2010-1,Education level: unknown,TOTAL,non labourforce,14
2010-1,Education level: unknown,employed,TOTAL,53
2010-1,Education level: unknown,employed,employed,52
2010-1,Education level: unknown,employed,unemployed,
2010-1,Education level: unknown,employed,non labourforce,
2010-1,Education level: unknown,unemployed,TOTAL,5
2010-1,Education level: unknown,unemployed,employed,2
2010-1,Education level: unknown,unemployed,unemployed,
2010-1,Education level: unknown,unemployed,non labourforce,2
2010-1,Education level: unknown,non labourforce,TOTAL,15
2010-1,Education level: unknown,non labourforce,employed,2
2010-1,Education level: unknown,non labourforce,unemployed,2
2010-1,Education level: unknown,non labourforce,non labourforce,12
2010-1,Job level: elementary,TOTAL,TOTAL,553
2010-1,Job level: elementary,TOTAL,employed,521
2010-1,Job level: elementary,TOTAL,unemployed,9
2010-1,Job level: elementary,TOTAL,non labourforce,24
2010-1,Job level: elementary,employed,TOTAL,504
2010-1,Job level: elementary,employed,employed,471
2010-1,Job level: elementary,employed,unemployed,9
2010-1,Job level: elementary,employed,non labourforce,24
2010-1,Job level: elementary,unemployed,TOTAL,19
2010-1,Job level: elementary,unemployed,employed,19
2010-1,Job level: elementary,unemployed,unemployed,
2010-1,Job level: elementary,unemployed,non labourforce,
2010-1,Job level: elementary,non labourforce,TOTAL,30
2010-1,Job level: elementary,non labourforce,employed,30
2010-1,Job level: elementary,non labourforce,unemployed,
2010-1,Job level: elementary,non labourforce,non labourforce,
2010-1,Job level: lower,TOTAL,TOTAL,1706
2010-1,Job level: lower,TOTAL,employed,1630
2010-1,Job level: lower,TOTAL,unemployed,24
2010-1,Job level: lower,TOTAL,non labourforce,51
2010-1,Job level: lower,employed,TOTAL,1588
2010-1,Job level: lower,employed,employed,1513
2010-1,Job level: lower,employed,unemployed,24
2010-1,Job level: lower,employed,non labourforce,51
2010-1,Job level: lower,unemployed,TOTAL,58
2010-1,Job level: lower,unemployed,employed,58
2010-1,Job level: lower,unemployed,unemployed,
2010-1,Job level: lower,unemployed,non labourforce,
2010-1,Job level: lower,non labourforce,TOTAL,60
2010-1,Job level: lower,non labourforce,employed,60
2010-1,Job level: lower,non labourforce,unemployed,
2010-1,Job level: lower,non labourforce,non labourforce,
2010-1,Job level: middle,TOTAL,TOTAL,2819
2010-1,Job level: middle,TOTAL,employed,2757
2010-1,Job level: middle,TOTAL,unemployed,28
2010-1,Job level: middle,TOTAL,non labourforce,34
2010-1,Job level: middle,employed,TOTAL,2762
2010-1,Job level: middle,employed,employed,2700
2010-1,Job level: middle,employed,unemployed,28
2010-1,Job level: middle,employed,non labourforce,34
2010-1,Job level: middle,unemployed,TOTAL,30
2010-1,Job level: middle,unemployed,employed,30
2010-1,Job level: middle,unemployed,unemployed,
2010-1,Job level: middle,unemployed,non labourforce,
2010-1,Job level: middle,non labourforce,TOTAL,28
2010-1,Job level: middle,non labourforce,employed,28
2010-1,Job level: middle,non labourforce,unemployed,
2010-1,Job level: middle,non labourforce,non labourforce,
2010-1,Job level: higher,TOTAL,TOTAL,1662
2010-1,Job level: higher,TOTAL,employed,1638
2010-1,Job level: higher,TOTAL,unemployed,12
2010-1,Job level: higher,TOTAL,non labourforce,12
2010-1,Job level: higher,employed,TOTAL,1635
2010-1,Job level: higher,employed,employed,1612
2010-1,Job level: higher,employed,unemployed,12
2010-1,Job level: higher,employed,non labourforce,12
2010-1,Job level: higher,unemployed,TOTAL,11
2010-1,Job level: higher,unemployed,employed,11
2010-1,Job level: higher,unemployed,unemployed,
2010-1,Job level: higher,unemployed,non labourforce,
2010-1,Job level: higher,non labourforce,TOTAL,15
2010-1,Job level: higher,non labourforce,employed,15
2010-1,Job level: higher,non labourforce,unemployed,
2010-1,Job level: higher,non labourforce,non labourforce,
2010-1,Job level: scientific,TOTAL,TOTAL,742
2010-1,Job level: scientific,TOTAL,employed,726
2010-1,Job level: scientific,TOTAL,unemployed,4
2010-1,Job level: scientific,TOTAL,non labourforce,12
2010-1,Job level: scientific,employed,TOTAL,734
2010-1,Job level: scientific,employed,employed,718
2010-1,Job level: scientific,employed,unemployed,4
2010-1,Job level: scientific,employed,non labourforce,12
2010-1,Job level: scientific,unemployed,TOTAL,3
2010-1,Job level: scientific,unemployed,employed,3
2010-1,Job level: scientific,unemployed,unemployed,
2010-1,Job level: scientific,unemployed,non labourforce,
2010-1,Job level: scientific,non labourforce,TOTAL,5
2010-1,Job level: scientific,non labourforce,employed,5
2010-1,Job level: scientific,non labourforce,unemployed,
2010-1,Job level: scientific,non labourforce,non labourforce,
2010-2,TOTAL,TOTAL,TOTAL,11016
2010-2,TOTAL,TOTAL,employed,7455
2010-2,TOTAL,TOTAL,unemployed,410
2010-2,TOTAL,TOTAL,non labourforce,3151
2010-2,TOTAL,employed,TOTAL,7370
2010-2,TOTAL,employed,employed,7131
2010-2,TOTAL,employed,unemployed,83
2010-2,TOTAL,employed,non labourforce,155
2010-2,TOTAL,unemployed,TOTAL,437
2010-2,TOTAL,unemployed,employed,117
2010-2,TOTAL,unemployed,unemployed,189
2010-2,TOTAL,unemployed,non labourforce,131
2010-2,TOTAL,non labourforce,TOTAL,3210
2010-2,TOTAL,non labourforce,employed,207
2010-2,TOTAL,non labourforce,unemployed,138
2010-2,TOTAL,non labourforce,non labourforce,2864
2010-2,Gender: male,TOTAL,TOTAL,5533
2010-2,Gender: male,TOTAL,employed,4172
2010-2,Gender: male,TOTAL,unemployed,199
2010-2,Gender: male,TOTAL,non labourforce,1161
2010-2,Gender: male,employed,TOTAL,4123
2010-2,Gender: male,employed,employed,4006
2010-2,Gender: male,employed,unemployed,45
2010-2,Gender: male,employed,non labourforce,71
2010-2,Gender: male,unemployed,TOTAL,216
2010-2,Gender: male,unemployed,employed,62
2010-2,Gender: male,unemployed,unemployed,100
2010-2,Gender: male,unemployed,non labourforce,53
2010-2,Gender: male,non labourforce,TOTAL,1194
2010-2,Gender: male,non labourforce,employed,104
2010-2,Gender: male,non labourforce,unemployed,54
2010-2,Gender: male,non labourforce,non labourforce,1037
2010-2,Gender: female,TOTAL,TOTAL,5484
2010-2,Gender: female,TOTAL,employed,3283
2010-2,Gender: female,TOTAL,unemployed,211
2010-2,Gender: female,TOTAL,non labourforce,1990
2010-2,Gender: female,employed,TOTAL,3247
2010-2,Gender: female,employed,employed,3125
2010-2,Gender: female,employed,unemployed,38
2010-2,Gender: female,employed,non labourforce,84
2010-2,Gender: female,unemployed,TOTAL,221
2010-2,Gender: female,unemployed,employed,55
2010-2,Gender: female,unemployed,unemployed,88
2010-2,Gender: female,unemployed,non labourforce,77
2010-2,Gender: female,non labourforce,TOTAL,2016
2010-2,Gender: female,non labourforce,employed,104
2010-2,Gender: female,non labourforce,unemployed,84
2010-2,Gender: female,non labourforce,non labourforce,1828
2010-2,Age: 15-25 years,TOTAL,TOTAL,2006
2010-2,Age: 15-25 years,TOTAL,employed,812
2010-2,Age: 15-25 years,TOTAL,unemployed,103
2010-2,Age: 15-25 years,TOTAL,non labourforce,1090
2010-2,Age: 15-25 years,employed,TOTAL,722
2010-2,Age: 15-25 years,employed,employed,631
2010-2,Age: 15-25 years,employed,unemployed,20
2010-2,Age: 15-25 years,employed,non labourforce,70
2010-2,Age: 15-25 years,unemployed,TOTAL,114
2010-2,Age: 15-25 years,unemployed,employed,38
2010-2,Age: 15-25 years,unemployed,unemployed,27
2010-2,Age: 15-25 years,unemployed,non labourforce,49
2010-2,Age: 15-25 years,non labourforce,TOTAL,1170
2010-2,Age: 15-25 years,non labourforce,employed,143
2010-2,Age: 15-25 years,non labourforce,unemployed,56
2010-2,Age: 15-25 years,non labourforce,non labourforce,971
2010-2,Age: 25-45 years,TOTAL,TOTAL,4406
2010-2,Age: 25-45 years,TOTAL,employed,3683
2010-2,Age: 25-45 years,TOTAL,unemployed,165
2010-2,Age: 25-45 years,TOTAL,non labourforce,558
2010-2,Age: 25-45 years,employed,TOTAL,3677
2010-2,Age: 25-45 years,employed,employed,3594
2010-2,Age: 25-45 years,employed,unemployed,42
2010-2,Age: 25-45 years,employed,non labourforce,42
2010-2,Age: 25-45 years,unemployed,TOTAL,174
2010-2,Age: 25-45 years,unemployed,employed,54
2010-2,Age: 25-45 years,unemployed,unemployed,78
2010-2,Age: 25-45 years,unemployed,non labourforce,42
2010-2,Age: 25-45 years,non labourforce,TOTAL,555
2010-2,Age: 25-45 years,non labourforce,employed,35
2010-2,Age: 25-45 years,non labourforce,unemployed,46
2010-2,Age: 25-45 years,non labourforce,non labourforce,475
2010-2,Age: 45-65 years,TOTAL,TOTAL,4604
2010-2,Age: 45-65 years,TOTAL,employed,2961
2010-2,Age: 45-65 years,TOTAL,unemployed,142
2010-2,Age: 45-65 years,TOTAL,non labourforce,1502
2010-2,Age: 45-65 years,employed,TOTAL,2971
2010-2,Age: 45-65 years,employed,employed,2906
2010-2,Age: 45-65 years,employed,unemployed,21
2010-2,Age: 45-65 years,employed,non labourforce,44
2010-2,Age: 45-65 years,unemployed,TOTAL,149
2010-2,Age: 45-65 years,unemployed,employed,25
2010-2,Age: 45-65 years,unemployed,unemployed,84
2010-2,Age: 45-65 years,unemployed,non labourforce,39
2010-2,Age: 45-65 years,non labourforce,TOTAL,1484
2010-2,Age: 45-65 years,non labourforce,employed,29
2010-2,Age: 45-65 years,non labourforce,unemployed,36
2010-2,Age: 45-65 years,non labourforce,non labourforce,1419
2010-2,Education level: lower,TOTAL,TOTAL,3368
2010-2,Education level: lower,TOTAL,employed,1624
2010-2,Education level: lower,TOTAL,unemployed,147
2010-2,Education level: lower,TOTAL,non labourforce,1598
2010-2,Education level: lower,employed,TOTAL,1565
2010-2,Education level: lower,employed,employed,1485
2010-2,Education level: lower,employed,unemployed,23
2010-2,Education level: lower,employed,non labourforce,57
2010-2,Education level: lower,unemployed,TOTAL,161
2010-2,Education level: lower,unemployed,employed,36
2010-2,Education level: lower,unemployed,unemployed,63
2010-2,Education level: lower,unemployed,non labourforce,62
2010-2,Education level: lower,non labourforce,TOTAL,1642
2010-2,Education level: lower,non labourforce,employed,103
2010-2,Education level: lower,non labourforce,unemployed,61
2010-2,Education level: lower,non labourforce,non labourforce,1479
2010-2,Education level: middle,TOTAL,TOTAL,4463
2010-2,Education level: middle,TOTAL,employed,3186
2010-2,Education level: middle,TOTAL,unemployed,159
2010-2,Education level: middle,TOTAL,non labourforce,1119
2010-2,Education level: middle,employed,TOTAL,3154
2010-2,Education level: middle,employed,employed,3054
2010-2,Education level: middle,employed,unemployed,33
2010-2,Education level: middle,employed,non labourforce,66
2010-2,Education level: middle,unemployed,TOTAL,174
2010-2,Education level: middle,unemployed,employed,54
2010-2,Education level: middle,unemployed,unemployed,74
2010-2,Education level: middle,unemployed,non labourforce,46
2010-2,Education level: middle,non labourforce,TOTAL,1135
2010-2,Education level: middle,non labourforce,employed,79
2010-2,Education level: middle,non labourforce,unemployed,51
2010-2,Education level: middle,non labourforce,non labourforce,1006
2010-2,Education level: higher,TOTAL,TOTAL,3095
2010-2,Education level: higher,TOTAL,employed,2583
2010-2,Education level: higher,TOTAL,unemployed,101
2010-2,Education level: higher,TOTAL,non labourforce,411
2010-2,Education level: higher,employed,TOTAL,2590
2010-2,Education level: higher,employed,employed,2534
2010-2,Education level: higher,employed,unemployed,26
2010-2,Education level: higher,employed,non labourforce,30
2010-2,Education level: higher,unemployed,TOTAL,93
2010-2,Education level: higher,unemployed,employed,25
2010-2,Education level: higher,unemployed,unemployed,49
2010-2,Education level: higher,unemployed,non labourforce,20
2010-2,Education level: higher,non labourforce,TOTAL,412
2010-2,Education level: higher,non labourforce,employed,24
2010-2,Education level: higher,non labourforce,unemployed,26
2010-2,Education level: higher,non labourforce,non labourforce,361
2010-2,Education level: unknown,TOTAL,TOTAL,89
2010-2,Education level: unknown,TOTAL,employed,63
2010-2,Education level: unknown,TOTAL,unemployed,3
2010-2,Education level: unknown,TOTAL,non labourforce,24
2010-2,Education level: unknown,employed,TOTAL,61
2010-2,Education level: unknown,employed,employed,59
2010-2,Education level: unknown,employed,unemployed,
2010-2,Education level: unknown,employed,non labourforce,3
2010-2,Education level: unknown,unemployed,TOTAL,8
2010-2,Education level: unknown,unemployed,employed,2
2010-2,Education level: unknown,unemployed,unemployed,3
2010-2,Education level: unknown,unemployed,non labourforce,3
2010-2,Education level: unknown,non labourforce,TOTAL,20
2010-2,Education level: unknown,non labourforce,employed,2
2010-2,Education level: unknown,non labourforce,unemployed,
2010-2,Education level: unknown,non labourforce,non labourforce,18
2010-2,Job level: elementary,TOTAL,TOTAL,551
2010-2,Job level: elementary,TOTAL,employed,517
2010-2,Job level: elementary,TOTAL,unemployed,12
2010-2,Job level: elementary,TOTAL,non labourforce,22
2010-2,Job level: elementary,employed,TOTAL,486
2010-2,Job level: elementary,employed,employed,452
2010-2,Job level: elementary,employed,unemployed,12
2010-2,Job level: elementary,employed,non labourforce,22
2010-2,Job level: elementary,unemployed,TOTAL,21
2010-2,Job level: elementary,unemployed,employed,21
2010-2,Job level: elementary,unemployed,unemployed,
2010-2,Job level: elementary,unemployed,non labourforce,
2010-2,Job level: elementary,non labourforce,TOTAL,43
2010-2,Job level: elementary,non labourforce,employed,43
2010-2,Job level: elementary,non labourforce,unemployed,
2010-2,Job level: elementary,non labourforce,non labourforce,
2010-2,Job level: lower,TOTAL,TOTAL,1771
2010-2,Job level: lower,TOTAL,employed,1689
2010-2,Job level: lower,TOTAL,unemployed,20
2010-2,Job level: lower,TOTAL,non labourforce,63
2010-2,Job level: lower,employed,TOTAL,1634
2010-2,Job level: lower,employed,employed,1551
2010-2,Job level: lower,employed,unemployed,20
2010-2,Job level: lower,employed,non labourforce,63
2010-2,Job level: lower,unemployed,TOTAL,49
2010-2,Job level: lower,unemployed,employed,49
2010-2,Job level: lower,unemployed,unemployed,
2010-2,Job level: lower,unemployed,non labourforce,
2010-2,Job level: lower,non labourforce,TOTAL,88
2010-2,Job level: lower,non labourforce,employed,88
2010-2,Job level: lower,non labourforce,unemployed,
2010-2,Job level: lower,non labourforce,non labourforce,
2010-2,Job level: middle,TOTAL,TOTAL,2813
2010-2,Job level: middle,TOTAL,employed,2744
2010-2,Job level: middle,TOTAL,unemployed,27
2010-2,Job level: middle,TOTAL,non labourforce,42
2010-2,Job level: middle,employed,TOTAL,2744
2010-2,Job level: middle,employed,employed,2676
2010-2,Job level: middle,employed,unemployed,27
2010-2,Job level: middle,employed,non labourforce,42
2010-2,Job level: middle,unemployed,TOTAL,29
2010-2,Job level: middle,unemployed,employed,29
2010-2,Job level: middle,unemployed,unemployed,
2010-2,Job level: middle,unemployed,non labourforce,
2010-2,Job level: middle,non labourforce,TOTAL,40
2010-2,Job level: middle,non labourforce,employed,40
2010-2,Job level: middle,non labourforce,unemployed,
2010-2,Job level: middle,non labourforce,non labourforce,
2010-2,Job level: higher,TOTAL,TOTAL,1703
2010-2,Job level: higher,TOTAL,employed,1669
2010-2,Job level: higher,TOTAL,unemployed,17
2010-2,Job level: higher,TOTAL,non labourforce,17
2010-2,Job level: higher,employed,TOTAL,1673
2010-2,Job level: higher,employed,employed,1639
2010-2,Job level: higher,employed,unemployed,17
2010-2,Job level: higher,employed,non labourforce,17
2010-2,Job level: higher,unemployed,TOTAL,8
2010-2,Job level: higher,unemployed,employed,8
2010-2,Job level: higher,unemployed,unemployed,
2010-2,Job level: higher,unemployed,non labourforce,
2010-2,Job level: higher,non labourforce,TOTAL,22
2010-2,Job level: higher,non labourforce,employed,22
2010-2,Job level: higher,non labourforce,unemployed,
2010-2,Job level: higher,non labourforce,non labourforce,
2010-2,Job level: scientific,TOTAL,TOTAL,725
2010-2,Job level: scientific,TOTAL,employed,712
2010-2,Job level: scientific,TOTAL,unemployed,5
2010-2,Job level: scientific,TOTAL,non labourforce,8
2010-2,Job level: scientific,employed,TOTAL,712
2010-2,Job level: scientific,employed,employed,700
2010-2,Job level: scientific,employed,unemployed,5
2010-2,Job level: scientific,employed,non labourforce,8
2010-2,Job level: scientific,unemployed,TOTAL,3
2010-2,Job level: scientific,unemployed,employed,3
2010-2,Job level: scientific,unemployed,unemployed,
2010-2,Job level: scientific,unemployed,non labourforce,
2010-2,Job level: scientific,non labourforce,TOTAL,9
2010-2,Job level: scientific,non labourforce,employed,9
2010-2,Job level: scientific,non labourforce,unemployed,
2010-2,Job level: scientific,non labourforce,non labourforce,
2010-3,TOTAL,TOTAL,TOTAL,11018
2010-3,TOTAL,TOTAL,employed,7426
2010-3,TOTAL,TOTAL,unemployed,390
2010-3,TOTAL,TOTAL,non labourforce,3202
2010-3,TOTAL,employed,TOTAL,7455
2010-3,TOTAL,employed,employed,7172
2010-3,TOTAL,employed,unemployed,85
2010-3,TOTAL,employed,non labourforce,198
2010-3,TOTAL,unemployed,TOTAL,410
2010-3,TOTAL,unemployed,employed,110
2010-3,TOTAL,unemployed,unemployed,178
2010-3,TOTAL,unemployed,non labourforce,122
2010-3,TOTAL,non labourforce,TOTAL,3153
2010-3,TOTAL,non labourforce,employed,144
2010-3,TOTAL,non labourforce,unemployed,127
2010-3,TOTAL,non labourforce,non labourforce,2882
2010-3,Gender: male,TOTAL,TOTAL,5533
2010-3,Gender: male,TOTAL,employed,4150
2010-3,Gender: male,TOTAL,unemployed,186
2010-3,Gender: male,TOTAL,non labourforce,1197
2010-3,Gender: male,employed,TOTAL,4167
2010-3,Gender: male,employed,employed,4030
2010-3,Gender: male,employed,unemployed,44
2010-3,Gender: male,employed,non labourforce,93
2010-3,Gender: male,unemployed,TOTAL,191
2010-3,Gender: male,unemployed,employed,57
2010-3,Gender: male,unemployed,unemployed,89
2010-3,Gender: male,unemployed,non labourforce,44
2010-3,Gender: male,non labourforce,TOTAL,1175
2010-3,Gender: male,non labourforce,employed,63
2010-3,Gender: male,non labourforce,unemployed,53
2010-3,Gender: male,non labourforce,non labourforce,1060
2010-3,Gender: female,TOTAL,TOTAL,5486
2010-3,Gender: female,TOTAL,employed,3276
2010-3,Gender: female,TOTAL,unemployed,204
2010-3,Gender: female,TOTAL,non labourforce,2006
2010-3,Gender: female,employed,TOTAL,3289
2010-3,Gender: female,employed,employed,3142
2010-3,Gender: female,employed,unemployed,41
2010-3,Gender: female,employed,non labourforce,105
2010-3,Gender: female,unemployed,TOTAL,220
2010-3,Gender: female,unemployed,employed,53
2010-3,Gender: female,unemployed,unemployed,89
2010-3,Gender: female,unemployed,non labourforce,78
2010-3,Gender: female,non labourforce,TOTAL,1977
2010-3,Gender: female,non labourforce,employed,81
2010-3,Gender: female,non labourforce,unemployed,74
2010-3,Gender: female,non labourforce,non labourforce,1822
2010-3,Age: 15-25 years,TOTAL,TOTAL,2007
2010-3,Age: 15-25 years,TOTAL,employed,771
2010-3,Age: 15-25 years,TOTAL,unemployed,83
2010-3,Age: 15-25 years,TOTAL,non labourforce,1153
2010-3,Age: 15-25 years,employed,TOTAL,794
2010-3,Age: 15-25 years,employed,employed,652
2010-3,Age: 15-25 years,employed,unemployed,22
2010-3,Age: 15-25 years,employed,non labourforce,119
2010-3,Age: 15-25 years,unemployed,TOTAL,111
2010-3,Age: 15-25 years,unemployed,employed,39
2010-3,Age: 15-25 years,unemployed,unemployed,21
2010-3,Age: 15-25 years,unemployed,non labourforce,51
2010-3,Age: 15-25 years,non labourforce,TOTAL,1102
2010-3,Age: 15-25 years,non labourforce,employed,80
2010-3,Age: 15-25 years,non labourforce,unemployed,40
2010-3,Age: 15-25 years,non labourforce,non labourforce,982
2010-3,Age: 25-45 years,TOTAL,TOTAL,4391
2010-3,Age: 25-45 years,TOTAL,employed,3689
2010-3,Age: 25-45 years,TOTAL,unemployed,162
2010-3,Age: 25-45 years,TOTAL,non labourforce,540
2010-3,Age: 25-45 years,employed,TOTAL,3684
2010-3,Age: 25-45 years,employed,employed,3609
2010-3,Age: 25-45 years,employed,unemployed,38
2010-3,Age: 25-45 years,employed,non labourforce,38
2010-3,Age: 25-45 years,unemployed,TOTAL,166
2010-3,Age: 25-45 years,unemployed,employed,50
2010-3,Age: 25-45 years,unemployed,unemployed,82
2010-3,Age: 25-45 years,unemployed,non labourforce,34
2010-3,Age: 25-45 years,non labourforce,TOTAL,540
2010-3,Age: 25-45 years,non labourforce,employed,30
2010-3,Age: 25-45 years,non labourforce,unemployed,42
2010-3,Age: 25-45 years,non labourforce,non labourforce,468
2010-3,Age: 45-65 years,TOTAL,TOTAL,4621
2010-3,Age: 45-65 years,TOTAL,employed,2966
2010-3,Age: 45-65 years,TOTAL,unemployed,145
2010-3,Age: 45-65 years,TOTAL,non labourforce,1509
2010-3,Age: 45-65 years,employed,TOTAL,2977
2010-3,Age: 45-65 years,employed,employed,2911
2010-3,Age: 45-65 years,employed,unemployed,25
2010-3,Age: 45-65 years,employed,non labourforce,42
2010-3,Age: 45-65 years,unemployed,TOTAL,133
2010-3,Age: 45-65 years,unemployed,employed,21
2010-3,Age: 45-65 years,unemployed,unemployed,76
2010-3,Age: 45-65 years,unemployed,non labourforce,36
2010-3,Age: 45-65 years,non labourforce,TOTAL,1510
2010-3,Age: 45-65 years,non labourforce,employed,35
2010-3,Age: 45-65 years,non labourforce,unemployed,44
2010-3,Age: 45-65 years,non labourforce,non labourforce,1431
2010-3,Education level: lower,TOTAL,TOTAL,3414
2010-3,Education level: lower,TOTAL,employed,1654
2010-3,Education level: lower,TOTAL,unemployed,138
2010-3,Education level: lower,TOTAL,non labourforce,1621
2010-3,Education level: lower,employed,TOTAL,1673
2010-3,Education level: lower,employed,employed,1569
2010-3,Education level: lower,employed,unemployed,24
2010-3,Education level: lower,employed,non labourforce,80
2010-3,Education level: lower,unemployed,TOTAL,150
2010-3,Education level: lower,unemployed,employed,33
2010-3,Education level: lower,unemployed,unemployed,61
2010-3,Education level: lower,unemployed,non labourforce,56
2010-3,Education level: lower,non labourforce,TOTAL,1591
2010-3,Education level: lower,non labourforce,employed,52
2010-3,Education level: lower,non labourforce,unemployed,54
2010-3,Education level: lower,non labourforce,non labourforce,1485
2010-3,Education level: middle,TOTAL,TOTAL,4445
2010-3,Education level: middle,TOTAL,employed,3140
2010-3,Education level: middle,TOTAL,unemployed,155
2010-3,Education level: middle,TOTAL,non labourforce,1150
2010-3,Education level: middle,employed,TOTAL,3159
2010-3,Education level: middle,employed,employed,3030
2010-3,Education level: middle,employed,unemployed,42
2010-3,Education level: middle,employed,non labourforce,87
2010-3,Education level: middle,unemployed,TOTAL,160
2010-3,Education level: middle,unemployed,employed,44
2010-3,Education level: middle,unemployed,unemployed,68
2010-3,Education level: middle,unemployed,non labourforce,49
2010-3,Education level: middle,non labourforce,TOTAL,1126
2010-3,Education level: middle,non labourforce,employed,66
2010-3,Education level: middle,non labourforce,unemployed,46
2010-3,Education level: middle,non labourforce,non labourforce,1014
2010-3,Education level: higher,TOTAL,TOTAL,3071
2010-3,Education level: higher,TOTAL,employed,2569
2010-3,Education level: higher,TOTAL,unemployed,93
2010-3,Education level: higher,TOTAL,non labourforce,409
2010-3,Education level: higher,employed,TOTAL,2561
2010-3,Education level: higher,employed,employed,2513
2010-3,Education level: higher,employed,unemployed,19
2010-3,Education level: higher,employed,non labourforce,29
2010-3,Education level: higher,unemployed,TOTAL,95
2010-3,Education level: higher,unemployed,employed,31
2010-3,Education level: higher,unemployed,unemployed,48
2010-3,Education level: higher,unemployed,non labourforce,16
2010-3,Education level: higher,non labourforce,TOTAL,415
2010-3,Education level: higher,non labourforce,employed,25
2010-3,Education level: higher,non labourforce,unemployed,26
2010-3,Education level: higher,non labourforce,non labourforce,364
2010-3,Education level: unknown,TOTAL,TOTAL,89
2010-3,Education level: unknown,TOTAL,employed,63
2010-3,Education level: unknown,TOTAL,unemployed,4
2010-3,Education level: unknown,TOTAL,non labourforce,22
2010-3,Education level: unknown,employed,TOTAL,63
2010-3,Education level: unknown,employed,employed,60
2010-3,Education level: unknown,employed,unemployed,
2010-3,Education level: unknown,employed,non labourforce,3
2010-3,Education level: unknown,unemployed,TOTAL,4
2010-3,Education level: unknown,unemployed,employed,2
2010-3,Education level: unknown,unemployed,unemployed,2
2010-3,Education level: unknown,unemployed,non labourforce,
2010-3,Education level: unknown,non labourforce,TOTAL,21
2010-3,Education level: unknown,non labourforce,employed,
2010-3,Education level: unknown,non labourforce,unemployed,2
2010-3,Education level: unknown,non labourforce,non labourforce,19
2010-3,Job level: elementary,TOTAL,TOTAL,582
2010-3,Job level: elementary,TOTAL,employed,523
2010-3,Job level: elementary,TOTAL,unemployed,15
2010-3,Job level: elementary,TOTAL,non labourforce,45
2010-3,Job level: elementary,employed,TOTAL,541
2010-3,Job level: elementary,employed,employed,481
2010-3,Job level: elementary,employed,unemployed,15
2010-3,Job level: elementary,employed,non labourforce,45
2010-3,Job level: elementary,unemployed,TOTAL,18
2010-3,Job level: elementary,unemployed,employed,18
2010-3,Job level: elementary,unemployed,unemployed,
2010-3,Job level: elementary,unemployed,non labourforce,
2010-3,Job level: elementary,non labourforce,TOTAL,24
2010-3,Job level: elementary,non labourforce,employed,24
2010-3,Job level: elementary,non labourforce,unemployed,
2010-3,Job level: elementary,non labourforce,non labourforce,
2010-3,Job level: lower,TOTAL,TOTAL,1779
2010-3,Job level: lower,TOTAL,employed,1668
2010-3,Job level: lower,TOTAL,unemployed,28
2010-3,Job level: lower,TOTAL,non labourforce,84
2010-3,Job level: lower,employed,TOTAL,1676
2010-3,Job level: lower,employed,employed,1565
2010-3,Job level: lower,employed,unemployed,28
2010-3,Job level: lower,employed,non labourforce,84
2010-3,Job level: lower,unemployed,TOTAL,45
2010-3,Job level: lower,unemployed,employed,45
2010-3,Job level: lower,unemployed,unemployed,
2010-3,Job level: lower,unemployed,non labourforce,
2010-3,Job level: lower,non labourforce,TOTAL,58
2010-3,Job level: lower,non labourforce,employed,58
2010-3,Job level: lower,non labourforce,unemployed,
2010-3,Job level: lower,non labourforce,non labourforce,
2010-3,Job level: middle,TOTAL,TOTAL,2803
2010-3,Job level: middle,TOTAL,employed,2731
2010-3,Job level: middle,TOTAL,unemployed,29
2010-3,Job level: middle,TOTAL,non labourforce,43
2010-3,Job level: middle,employed,TOTAL,2742
2010-3,Job level: middle,employed,employed,2670
